requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
2,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,changes of states for devices,NNS,O,NOUN.COGNITION,1 
2,monitoring,VBG,O,NOUN.ACT,change for,VB,TV,FALSE,devices,NNS,O,NOUN.COGNITION,0 
3,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON,0 
3,user,NN,PERSON,NOUN.PERSON,operate,VBP,TV,TRUE,equipment,NN,O,NOUN.ARTIFACT,1 
3,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,operate,VBP,O,OTHER,0 
4,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON,0 
4,user,NN,PERSON,NOUN.PERSON,change,VB,TV,FALSE,parameter,NN,O,NOUN.COGNITION,1 
5,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON,0 
5,user,NN,PERSON,NOUN.PERSON,visualize,VBP,TV,TRUE,alarms,NNS,O,OTHER,1 
6,user,NN,PERSON,NOUN.PERSON,acknowledge,VBP,TV,FALSE,alarms,NNS,O,OTHER,1 
6,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON,0 
7,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON,0 
7,system,NN,O,NOUN.GROUP,allow user to,TO,OTHER,FALSE,clear alarms,NNS,O,NOUN.STATE,0 
7,system,NN,O,NOUN.GROUP,allow to,VBP,PERMISSION,FALSE,clear alarms,NNS,O,NOUN.STATE,0 
7,system,NN,O,NOUN.GROUP,allow user to,TO,OTHER,FALSE,alarms,NNS,O,OTHER,0 
7,system,NN,O,NOUN.GROUP,allow to,VBP,PERMISSION,FALSE,alarms,NNS,O,OTHER,0 
8,system,NN,O,NOUN.GROUP,support,VB,TV,FALSE,scanning of devices for alarms,NNS,O,NOUN.PROCESS,0 
8,system,NN,O,NOUN.GROUP,support,VB,TV,FALSE,scanning of devices,NNS,O,NOUN.COGNITION,0 
8,change,NN,O,NOUN.EVENT,be in,VB,IS-A,FALSE,state,NN,O,NOUN.GROUP,0 
8,system,NN,O,NOUN.GROUP,support,VB,TV,FALSE,scanning,NN,O,NOUN.PROCESS,0 
8,operator control action,NN,O,NOUN.ACT,continuous scanning of,IN,OTHER,FALSE,devices,NNS,O,NOUN.COGNITION,0 
8,system,NN,O,NOUN.GROUP,support,VB,TV,FALSE,scanning for alarms,NNS,O,NOUN.PROCESS,0 
8,system,NN,O,NOUN.GROUP,support,VB,TV,FALSE,changes,NNS,O,OTHER,0 
8,system,NN,O,NOUN.GROUP,support,VB,TV,FALSE,continuous scanning of devices,NNS,O,NOUN.COGNITION,0 
8,system,NN,O,NOUN.GROUP,support,VB,TV,FALSE,operator control actions,NNS,O,NOUN.PERSON,0 
8,operator control action,NN,O,NOUN.ACT,scanning for,IN,OTHER,FALSE,alarms,NNS,O,OTHER,0 
8,system,NN,O,NOUN.GROUP,support,VB,TV,FALSE,continuous scanning of devices for alarms,NNS,O,OTHER,0 
8,system,NN,O,NOUN.GROUP,support,VB,TV,FALSE,continuous scanning,NN,O,NOUN.PROCESS,0 
8,system,NN,O,NOUN.GROUP,support,VB,TV,FALSE,changes in state,NN,O,NOUN.GROUP,0 
8,system,NN,O,NOUN.GROUP,support,VB,TV,FALSE,continuous scanning for alarms,NNS,O,OTHER,0 
8,operator control action,NN,O,NOUN.ACT,continuous scanning for,IN,OTHER,FALSE,alarms,NNS,O,OTHER,0 
8,operator control action,NN,O,NOUN.ACT,scanning of,IN,OTHER,FALSE,devices,NNS,O,NOUN.COGNITION,0 
9,parameter,NN,O,NOUN.COGNITION,retrieve,VBP,TV,FALSE,those,DT,O,OTHER,0 
9,parameter,NN,O,NOUN.COGNITION,retrieve,VBP,TV,FALSE,only those,DT,O,OTHER,0 
10,system,NN,O,NOUN.GROUP,support,VB,TV,FALSE,disturbance/fault record,NN,O,NOUN.COMMUNICATION,0 
10,system,NN,O,NOUN.GROUP,support,VB,TV,FALSE,record,NN,O,NOUN.COMMUNICATION,0 
10,system,NN,O,NOUN.GROUP,retrieve,VBP,TV,FALSE,data,NNS,O,NOUN.GROUP,0 
11,user,NN,PERSON,NOUN.PERSON,configure,VB,TV,TRUE,communication network,NN,O,NOUN.GROUP,1 
11,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON,0 
12,system,NN,O,NOUN.GROUP,synchronise,VBP,TV,TRUE,time,NN,O,NOUN.EVENT,0 
12,system,NN,O,NOUN.GROUP,synchronise,VBP,TV,TRUE,time of devices,NNS,O,NOUN.COGNITION,0 
12,system,NN,O,NOUN.GROUP,synchronise time within,IN,OTHER,FALSE,communication system,NN,O,NOUN.ARTIFACT,0 
13,system,NN,O,NOUN.GROUP,detect,VB,TV,TRUE,operational,JJ,O,OTHER,0 
13,device,NN,O,NOUN.ARTIFACT,be,VB,IS-A,FALSE,operational,JJ,O,OTHER,0 
13,object,NN,O,NOUN.TOPS,be,VB,IS-A,FALSE,operational,JJ,O,OTHER,0 
13,device,NN,O,NOUN.ARTIFACT,be,VB,IS-A,FALSE,fully operational,JJ,O,OTHER,0 
13,system,NN,O,NOUN.GROUP,detect,VB,TV,TRUE,fully operational,JJ,O,OTHER,0 
13,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,detects,VBZ,O,OTHER,0 
13,object,NN,O,NOUN.TOPS,be,VB,IS-A,FALSE,fully operational,JJ,O,OTHER,0 
14,system,NN,O,NOUN.GROUP,provide,VBP,TV,TRUE,status reports for components,NNS,O,NOUN.STATE,0 
14,system,NN,O,NOUN.GROUP,provide,VBP,TV,TRUE,status reports,NNS,O,NOUN.STATE,0 
15,datum,NN,O,NOUN.COGNITION,be,VB,IS-A,FALSE,stored in plant controller for transmission,NN,O,NOUN.ACT,0 
15,datum,NN,O,NOUN.COGNITION,be,VB,IS-A,FALSE,stored in plant controller for transmission on demand,NN,O,NOUN.PROCESS,0 
15,datum,NN,O,NOUN.COGNITION,be store in,IN,OTHER,FALSE,plant controller,NN,TITLE,NOUN.PERSON,0 
15,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,data,NNS,O,NOUN.GROUP,0 
15,datum,NN,O,NOUN.COGNITION,be,VB,IS-A,FALSE,stored,VBN,O,OTHER,0 
15,datum,NN,O,NOUN.COGNITION,be store for,IN,OTHER,FALSE,transmission on demand,NN,O,NOUN.PROCESS,0 
15,datum,NN,O,NOUN.COGNITION,be store for,IN,OTHER,FALSE,transmission,NN,O,NOUN.ACT,0 
16,system,NN,O,NOUN.GROUP,download,VB,TV,FALSE,configuration,NN,O,NOUN.COGNITION,0 
16,system,NN,O,NOUN.GROUP,retrieve,VBP,TV,FALSE,configuration data,NNS,O,NOUN.GROUP,0 
17,system,NN,O,NOUN.GROUP,start object within,IN,OTHER,FALSE,system,NN,O,NOUN.GROUP,0 
17,system,NN,O,NOUN.GROUP,start,VB,TV,FALSE,objects,NNS,O,OTHER,0 
17,system,NN,O,NOUN.GROUP,start function within,IN,OTHER,FALSE,system,NN,O,NOUN.GROUP,0 
17,system,NN,O,NOUN.GROUP,start,VB,TV,FALSE,functions,NNS,O,OTHER,0 

