requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
7,UIC,NNP,ORGANIZATION,OTHER,allow,VB,TV,FALSE,driver,NN,TITLE,NOUN.PERSON ,0
7,UIC,NNP,ORGANIZATION,OTHER,allow,VB,TV,FALSE,communicate with driver,NNS,O,NOUN.PERSON ,0
7,UIC,NNP,ORGANIZATION,OTHER,must,MD,OTHER,FALSE,must able,JJ,O,NOUN.OBJECT ,0
7,driver,NN,PERSON,NOUN.PERSON,communicate on,IN,TV,FALSE,same train,NN,CRIMINAL_CHARGE,NOUN.ARTIFACT ,0
7,UIC,NNP,ORGANIZATION,OTHER,allow,VB,TV,FALSE,communicate on same train,NN,CRIMINAL_CHARGE,NOUN.ARTIFACT ,0
8,driver,NN,PERSON,NOUN.PERSON,call,VB,TV,FALSE,train staff,NN,O,NOUN.GROUP ,1
8,UIC,NNP,ORGANIZATION,OTHER,allow,VB,TV,FALSE,driver,NN,TITLE,NOUN.PERSON ,0
8,UIC,NNP,ORGANIZATION,OTHER,must,MD,OTHER,FALSE,must able,JJ,O,NOUN.OBJECT ,0
9,driver,NN,PERSON,NOUN.PERSON,call,VB,TV,FALSE,other authorize user,NNS,O,NOUN.PERSON ,1
9,driver,NN,PERSON,NOUN.PERSON,call,VB,TV,FALSE,authorize user,NNS,O,NOUN.PERSON ,1
9,UIC,NNP,ORGANIZATION,OTHER,allow,VB,TV,FALSE,driver,NN,TITLE,NOUN.PERSON ,0
9,driver,NN,PERSON,NOUN.PERSON,call,VB,TV,FALSE,user,NNS,O,NOUN.PERSON ,1
9,UIC,NNP,ORGANIZATION,OTHER,must,MD,OTHER,FALSE,must able,JJ,O,NOUN.OBJECT ,0
9,driver,NN,PERSON,NOUN.PERSON,call,VB,TV,FALSE,other user,NNS,O,NOUN.PERSON ,1
10,driver,NN,PERSON,NOUN.PERSON,receive,VB,TV,TRUE,incoming voice call,NNS,O,NOUN.COMMUNICATION ,1
10,UIC,NNP,ORGANIZATION,OTHER,allow,VB,TV,FALSE,driver,NN,TITLE,NOUN.PERSON ,0
10,driver,NN,PERSON,NOUN.PERSON,receive,VB,TV,TRUE,voice call,NNS,O,NOUN.COMMUNICATION ,1
10,UIC,NNP,ORGANIZATION,OTHER,must,MD,OTHER,FALSE,must able,JJ,O,NOUN.OBJECT ,0
11,driver,NN,PERSON,NOUN.PERSON,terminate,VB,TV,TRUE,call,NNS,O,NOUN.COMMUNICATION ,1
11,UIC,NNP,ORGANIZATION,OTHER,allow,VB,TV,FALSE,driver,NN,TITLE,NOUN.PERSON ,0
11,UIC,NNP,ORGANIZATION,OTHER,must,MD,OTHER,FALSE,must able,JJ,O,NOUN.OBJECT ,0
12,driver,NN,PERSON,NOUN.PERSON,receive,VB,TV,TRUE,text message,NNS,O,NOUN.COMMUNICATION ,1
12,UIC,NNP,ORGANIZATION,OTHER,allow,VB,TV,FALSE,driver,NN,TITLE,NOUN.PERSON ,0
12,UIC,NNP,ORGANIZATION,OTHER,must,MD,OTHER,FALSE,must able,JJ,O,NOUN.OBJECT ,0
13,driver,NN,PERSON,NOUN.PERSON,enter/leave,VB,OTHER,FALSE,shunting mode,NN,O,NOUN.ATTRIBUTE ,0
13,UIC,NNP,ORGANIZATION,OTHER,allow,VB,TV,FALSE,driver,NN,TITLE,NOUN.PERSON ,0
13,UIC,NNP,ORGANIZATION,OTHER,must,MD,OTHER,FALSE,must able,JJ,O,NOUN.OBJECT ,0
14,driver,NN,PERSON,NOUN.PERSON,enter/leave,VB,OTHER,FALSE,direct mode,NN,O,NOUN.ATTRIBUTE ,0
14,driver,NN,PERSON,NOUN.PERSON,enter/leave,VB,OTHER,FALSE,mode,NN,O,NOUN.ATTRIBUTE ,0
14,UIC,NNP,ORGANIZATION,OTHER,allow,VB,TV,FALSE,driver,NN,TITLE,NOUN.PERSON ,0
14,UIC,NNP,ORGANIZATION,OTHER,must,MD,OTHER,FALSE,must able,JJ,O,NOUN.OBJECT ,0
15,driver,NN,PERSON,NOUN.PERSON,monitor,VB,TV,FALSE,call to other users/devices,NNS,O,NOUN.COMMUNICATION ,1
15,driver,NN,PERSON,NOUN.PERSON,monitor,VB,TV,FALSE,call to other on-train users/devices,NNS,O,NOUN.COMMUNICATION ,1
15,driver,NN,PERSON,NOUN.PERSON,monitor,VB,TV,FALSE,call to users/devices,NNS,O,NOUN.COMMUNICATION ,1
15,driver,NN,PERSON,NOUN.PERSON,monitor,VB,TV,FALSE,call,NNS,O,NOUN.COMMUNICATION ,1
15,driver,NN,PERSON,NOUN.PERSON,monitor,VB,TV,FALSE,call to on-train users/devices,NNS,O,NOUN.COMMUNICATION ,1
15,UIC,NNP,ORGANIZATION,OTHER,allow,VB,TV,FALSE,driver,NN,TITLE,NOUN.PERSON ,0
15,UIC,NNP,ORGANIZATION,OTHER,must,MD,OTHER,FALSE,must able,JJ,O,NOUN.OBJECT ,0
16,UIC,NNP,ORGANIZATION,OTHER,allow to,TO,TV,FALSE,forward calls/cancel call forwarding to/from driver handheld,JJ,O,NOUN.PERSON ,0
16,UIC,NNP,ORGANIZATION,OTHER,allow driver to,TO,TV,FALSE,forward calls/cancel call forwarding to/from driver handheld,JJ,O,NOUN.PERSON ,0
16,UIC,NNP,ORGANIZATION,OTHER,allow to,TO,TV,FALSE,forward calls/cancel call forwarding to/from driver,NN,TITLE,NOUN.PERSON ,0
16,UIC,NNP,ORGANIZATION,OTHER,allow driver to,TO,TV,FALSE,call forwarding to/from driver,NN,TITLE,NOUN.PERSON ,0
16,UIC,NNP,ORGANIZATION,OTHER,allow driver to,TO,TV,FALSE,calls/cancel call forwarding to/from driver,NN,TITLE,NOUN.PERSON ,0
16,UIC,NNP,ORGANIZATION,OTHER,allow driver to,TO,TV,FALSE,forward calls/cancel call forwarding to/from driver,NN,TITLE,NOUN.PERSON ,0
16,UIC,NNP,ORGANIZATION,OTHER,allow to,TO,TV,FALSE,call forwarding to/from driver,NN,TITLE,NOUN.PERSON ,0
16,UIC,NNP,ORGANIZATION,OTHER,allow to,TO,TV,FALSE,calls/cancel call forwarding to/from driver,NN,TITLE,NOUN.PERSON ,0
16,UIC,NNP,ORGANIZATION,OTHER,allow to,TO,TV,FALSE,call forwarding to/from driver handheld,JJ,O,NOUN.COMMUNICATION ,0
16,UIC,NNP,ORGANIZATION,OTHER,allow driver to,TO,TV,FALSE,call forwarding to/from driver handheld,JJ,O,NOUN.COMMUNICATION ,0
16,UIC,NNP,ORGANIZATION,OTHER,allow to,TO,TV,FALSE,calls/cancel call forwarding to/from driver handheld,JJ,O,OTHER ,0
16,UIC,NNP,ORGANIZATION,OTHER,allow,VB,TV,FALSE,driver,NN,TITLE,NOUN.PERSON ,0
16,UIC,NNP,ORGANIZATION,OTHER,must,MD,OTHER,FALSE,must able,JJ,O,NOUN.OBJECT ,0
16,UIC,NNP,ORGANIZATION,OTHER,allow driver to,TO,TV,FALSE,calls/cancel call forwarding to/from driver handheld,JJ,O,OTHER ,0
