subject,s-tag,s-ner,s-type,verb,v-tag,v-cat,v-extractUseCase,object,o-tag,o-ner,o-type,label
system,NN,O,NOUN_GROUP,provide,VBP,TV,TRUE,management,NN,O,NOUN_ACT,NONE
driver,NN,PERSON,NOUN_PERSON,in,IN,OTHER,FALSE,smart cardholder like pre-delivery check,NN,O,NOUN_POSSESSION,NONE
system,NN,O,NOUN_GROUP,define type in,VB,TV,TRUE,driver _s cardholder like pre-delivery check,NN,O,NOUN_POSSESSION,NONE
system,NN,O,NOUN_GROUP,must,MD,AUXILIARY,FALSE,must able,JJ,O,NOUN_OBJECT,NONE
system,NN,O,NOUN_GROUP,define type in,VB,TV,TRUE,driver _s smart cardholder like check,NN,O,NOUN_POSSESSION,NONE
system,NN,O,NOUN_GROUP,define type in,VB,TV,TRUE,driver _s cardholder like check,NN,O,NOUN_POSSESSION,NONE
system,NN,O,NOUN_GROUP,define type in,VB,TV,TRUE,driver _s smart cardholder like pre-delivery check,NN,O,NOUN_POSSESSION,NONE
system,NN,O,NOUN_GROUP,define type in,VB,TV,TRUE,driver _s cardholder,NN,O,NOUN_PERSON,NONE
system,NN,O,NOUN_GROUP,define,VB,TV,TRUE,types,NNS,O,OTHER,NONE
system,NN,O,NOUN_GROUP,define type in,VB,TV,TRUE,driver _s smart cardholder,NN,O,NOUN_PERSON,NONE
system,NN,O,NOUN_GROUP,must,MD,AUXILIARY,FALSE,must able,JJ,O,NOUN_OBJECT,NONE
system,NN,O,NOUN_GROUP,include,VBP,TV,TRUE,members,NNS,O,OTHER,NONE
system,NN,O,NOUN_GROUP,include,VBP,TV,TRUE,new members,NNS,O,OTHER,NONE
system,NN,O,NOUN_GROUP,include,VBP,TV,TRUE,members in network,NN,O,NOUN_GROUP,NONE
system,NN,O,NOUN_GROUP,include member through,VBP,TV,TRUE,simple tasks,NNS,O,NOUN_PERSON,NONE
system,NN,O,NOUN_GROUP,include member through,VBP,TV,TRUE,administrative tasks,NNS,O,OTHER,NONE
new member,NN,PERSON,NOUN_PERSON,be in,VB,IS-A,FALSE,network,NN,O,NOUN_GROUP,NONE
system,NN,O,NOUN_GROUP,include,VBP,TV,TRUE,new members in network,NN,O,NOUN_GROUP,NONE
system,NN,O,NOUN_GROUP,include member through,VBP,TV,TRUE,tasks,NNS,O,OTHER,NONE
system,NN,O,NOUN_GROUP,include member through,VBP,TV,TRUE,simple administrative tasks,NNS,O,NOUN_PERSON,NONE
system,NN,O,NOUN_GROUP,must,MD,AUXILIARY,FALSE,must highly automatic,JJ,O,NOUN_ARTIFACT,NONE
system,NN,O,NOUN_GROUP,must,MD,AUXILIARY,FALSE,must automatic,JJ,O,NOUN_ARTIFACT,NONE
system,NN,O,NOUN_GROUP,provide at,VBP,TV,TRUE,application level,NN,O,NOUN_ATTRIBUTE,NONE
none,NN,O,NOUN_TIME,reconstruct,VB,TV,TRUE,European database,NN,O,NOUN_COMMUNICATION,NONE
none,NN,O,NOUN_TIME,reconstruct database through,VB,TV,TRUE,use,NN,O,NOUN_ACT,NONE
none,NN,O,NOUN_TIME,be,VB,IS-A,FALSE,technically able,JJ,O,OTHER,NONE
none,NN,O,NOUN_TIME,reconstruct,VB,TV,TRUE,database,NN,O,NOUN_COMMUNICATION,NONE
none,NN,O,NOUN_TIME,be,VB,IS-A,FALSE,able,JJ,O,OTHER,NONE
none,NN,O,NOUN_TIME,reconstruct database through,VB,TV,TRUE,use of messages,NNS,O,NOUN_ACT,NONE
none,NN,O,NOUN_TIME,reconstruct,VB,TV,TRUE,consolidated European database,NN,O,NOUN_COMMUNICATION,NONE
none,NN,O,NOUN_TIME,reconstruct database through,VB,TV,TRUE,use of messages exchanged,VBN,O,NOUN_ACT,NONE
none,NN,O,NOUN_TIME,reconstruct,VB,TV,TRUE,consolidated database,NN,O,NOUN_COMMUNICATION,NONE
system,NN,O,NOUN_GROUP,must,MD,AUXILIARY,FALSE,must such,JJ,O,NOUN_OBJECT,NONE
Member State,NN,O,NOUN_GROUP,ask for,VB,TV,FALSE,status of card to Card Issuing Authority of Member State,NN,O,NOUN_GROUP,NONE
Member State,NNP,O,NOUN_GROUP,ask for,VB,TV,FALSE,status of card to Card Issuing Authority,NNP,O,NOUN_PERSON,NONE
Member State,NN,O,NOUN_GROUP,ask for,VB,TV,FALSE,status to Card Issuing Authority of Member State,NN,O,NOUN_GROUP,NONE
Member State,NN,O,NOUN_GROUP,ask for,VB,TV,FALSE,status of card to corresponding Card Issuing Authority of Member State,NN,O,NOUN_GROUP,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask for status of card to corresponding Card Issuing Authority,NNP,ORGANIZATION,NOUN_PERSON,NONE
Member State,NNP,O,NOUN_GROUP,ask for,VB,TV,FALSE,status to corresponding Card Issuing Authority,NNP,O,NOUN_PERSON,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask for status to corresponding Card Issuing Authority of Member State,NN,O,NOUN_GROUP,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask for status,NN,O,NOUN_STATE,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask for status of card,NN,O,NOUN_PERSON,NONE
Member State,NNP,O,NOUN_GROUP,ask for,VB,TV,FALSE,status of card,NN,O,NOUN_PERSON,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask for status of card to corresponding Card Issuing Authority of Member State,NN,O,NOUN_GROUP,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask for status to Card Issuing Authority of Member State,NN,O,NOUN_GROUP,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,Member State,NN,O,NOUN_GROUP,NONE
Member State,NNP,O,NOUN_GROUP,ask for,VB,TV,FALSE,status of card to corresponding Card Issuing Authority,NNP,O,NOUN_PERSON,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask for status of card to Card Issuing Authority of Member State,NN,O,NOUN_GROUP,NONE
Member State,NNP,O,NOUN_GROUP,ask for,VB,TV,FALSE,status,NN,O,NOUN_STATE,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask for status to Card Issuing Authority,NNP,ORGANIZATION,NOUN_PERSON,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask for status to corresponding Card Issuing Authority,NNP,ORGANIZATION,NOUN_PERSON,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask,VB,O,OTHER,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask for status of card to Card Issuing Authority,NNP,ORGANIZATION,NOUN_PERSON,NONE
Member State,NNP,O,NOUN_GROUP,ask for,VB,TV,FALSE,status to Card Issuing Authority,NNP,O,NOUN_PERSON,NONE
Member State,NN,O,NOUN_GROUP,ask for,VB,TV,FALSE,status to corresponding Card Issuing Authority of Member State,NN,O,NOUN_GROUP,NONE
Member State,NNP,O,NOUN_GROUP,transport card status modification request to,VB,TV,TRUE,Card Issuing Authority,NNP,O,NOUN_PERSON,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,Member State,NN,O,NOUN_GROUP,NONE
Member State,NN,O,NOUN_GROUP,transport card status modification request to,VB,TV,TRUE,corresponding Card Issuing Authority of Member State,NN,O,NOUN_GROUP,NONE
Member State,NN,O,NOUN_GROUP,transport card status modification request to,VB,TV,TRUE,Card Issuing Authority of Member State,NN,O,NOUN_GROUP,NONE
Member State,NNP,O,NOUN_GROUP,transport card status modification request to,VB,TV,TRUE,corresponding Card Issuing Authority,NNP,O,NOUN_PERSON,NONE
Member State,NNP,O,NOUN_GROUP,transport,VB,TV,TRUE,card status modification requests,NNS,O,NOUN_PERSON,NONE
card status modification request,NN,O,NOUN_COMMUNICATION,issue,VB,TV,FALSE,card,NN,O,NOUN_PERSON,NONE
enforcement authority,NN,PERSON,NOUN_PERSON,ask for,VB,TV,FALSE,driver _s card status to Card Issuing Authority,NNP,ORGANIZATION,NOUN_PERSON,NONE
driver,NN,PERSON,NOUN_PERSON,for,IN,OTHER,FALSE,card status to corresponding Card Issuing Authority of Member State,NN,O,NOUN_GROUP,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask for driver _s card status to corresponding Card Issuing Authority,NNP,ORGANIZATION,NOUN_PERSON,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask for driver _s card status to Card Issuing Authority,NNP,ORGANIZATION,NOUN_PERSON,NONE
enforcement authority,NN,PERSON,NOUN_PERSON,ask for,VB,TV,FALSE,driver _s card status,NN,O,NOUN_STATE,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask for driver _s card status to Card Issuing Authority of Member State,NN,O,NOUN_GROUP,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,enforcement authorities,NNS,O,NOUN_GROUP,NONE
enforcement authority,NN,PERSON,NOUN_PERSON,ask for,VB,TV,FALSE,driver _s card status to corresponding Card Issuing Authority,NNP,ORGANIZATION,NOUN_PERSON,NONE
enforcement authority,NN,PERSON,NOUN_PERSON,ask for,VB,TV,FALSE,driver _s card status to corresponding Card Issuing Authority of Member State,NN,O,NOUN_GROUP,NONE
enforcement authority,NN,PERSON,NOUN_PERSON,ask for,VB,TV,FALSE,driver _s card status to Card Issuing Authority of Member State,NN,O,NOUN_GROUP,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask for driver _s card status to corresponding Card Issuing Authority of Member State,NN,O,NOUN_GROUP,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask for driver _s card status,NN,O,NOUN_STATE,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask,VB,O,OTHER,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask to Card Issuing Authority of Member State,NN,O,NOUN_GROUP,NONE
enforcement authority,NN,PERSON,NOUN_PERSON,ask to,VB,TV,FALSE,Card Issuing Authority of Member State,NN,O,NOUN_GROUP,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask to corresponding Card Issuing Authority of Member State,NN,O,NOUN_GROUP,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask for workshop card status to Card Issuing Authority of Member State,NN,O,NOUN_GROUP,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask to Card Issuing Authority,NNP,ORGANIZATION,NOUN_PERSON,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask to corresponding Card Issuing Authority,NNP,ORGANIZATION,NOUN_PERSON,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask for workshop card status to corresponding Card Issuing Authority,NNP,ORGANIZATION,NOUN_PERSON,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask for workshop card status to corresponding Card Issuing Authority of Member State,NN,O,NOUN_GROUP,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask for workshop card status,NN,O,NOUN_STATE,NONE
enforcement authority,NN,PERSON,NOUN_PERSON,ask for,VB,TV,FALSE,workshop card status,NN,O,NOUN_STATE,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,enforcement authorities,NNS,O,NOUN_GROUP,NONE
enforcement authority,NN,PERSON,NOUN_PERSON,ask to,VB,TV,FALSE,Card Issuing Authority,NNP,ORGANIZATION,NOUN_PERSON,NONE
enforcement authority,NN,PERSON,NOUN_PERSON,ask to,VB,TV,FALSE,corresponding Card Issuing Authority,NNP,ORGANIZATION,NOUN_PERSON,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask for workshop card status to Card Issuing Authority,NNP,ORGANIZATION,NOUN_PERSON,NONE
enforcement authority,NN,PERSON,NOUN_PERSON,ask to,VB,TV,FALSE,corresponding Card Issuing Authority of Member State,NN,O,NOUN_GROUP,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,ask,VB,O,OTHER,NONE

